Since	the	F10.7	(3-month	avg)	of	the	requested	date	is	not	yet	"available,"	the	value	of	F10.7	(daily)	is	used	instead	as	the	value	of	F10.7	(3-monthavg).
2024	9	21	265	12	9	32.7	242.8	1.00E-37	7.52E+18	2.02E+18	4.63E-04	243.3	937	5.01E+13	8.99E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	10	32.7	242.8	1.00E-37	6.74E+18	1.81E+18	4.15E-04	235.5	937	4.49E+13	8.06E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	11	32.7	242.8	1.00E-37	6.02E+18	1.61E+18	3.71E-04	227.8	937	4.01E+13	7.19E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	12	32.7	242.8	1.00E-37	5.34E+18	1.43E+18	3.29E-04	220.6	937	3.56E+13	6.38E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	13	32.7	242.8	1.00E-37	4.70E+18	1.26E+18	2.89E-04	214.4	937	3.13E+13	5.62E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	14	32.7	242.8	1.00E-37	4.10E+18	1.10E+18	2.52E-04	209.6	937	2.73E+13	4.89E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	15	32.7	242.8	1.00E-37	3.53E+18	9.47E+17	2.17E-04	206.4	937	2.35E+13	4.22E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	16	32.7	242.8	1.00E-37	3.01E+18	8.08E+17	1.86E-04	205.1	937	2.01E+13	3.60E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	17	32.7	242.8	1.00E-37	2.55E+18	6.84E+17	1.57E-04	205.3	937	1.70E+13	3.05E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	18	32.7	242.8	1.00E-37	2.15E+18	5.76E+17	1.32E-04	206.6	937	1.43E+13	2.57E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	19	32.7	242.8	1.00E-37	1.81E+18	4.85E+17	1.11E-04	208.6	937	1.20E+13	2.16E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	20	32.7	242.8	1.00E-37	1.52E+18	4.08E+17	9.37E-05	210.8	937	1.01E+13	1.82E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	21	32.7	242.8	1.00E-37	1.29E+18	3.45E+17	7.91E-05	212.8	937	8.56E+12	1.54E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	22	32.7	242.8	1.00E-37	1.09E+18	2.92E+17	6.69E-05	214.6	937	7.24E+12	1.30E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	23	32.7	242.8	1.00E-37	9.22E+17	2.47E+17	5.68E-05	216.2	937	6.14E+12	1.10E+16	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	24	32.7	242.8	1.00E-37	7.84E+17	2.10E+17	4.82E-05	217.7	937	5.22E+12	9.36E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	25	32.7	242.8	1.00E-37	6.67E+17	1.79E+17	4.10E-05	219	937	4.44E+12	7.97E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	26	32.7	242.8	1.00E-37	5.68E+17	1.52E+17	3.50E-05	220.4	937	3.78E+12	6.79E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	27	32.7	242.8	1.00E-37	4.84E+17	1.30E+17	2.98E-05	221.7	937	3.23E+12	5.79E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	28	32.7	242.8	1.00E-37	4.14E+17	1.11E+17	2.55E-05	223.1	937	2.75E+12	4.94E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	29	32.7	242.8	1.00E-37	3.53E+17	9.47E+16	2.18E-05	224.5	937	2.35E+12	4.22E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	30	32.7	242.8	1.00E-37	3.02E+17	8.10E+16	1.86E-05	225.9	937	2.01E+12	3.61E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	31	32.7	242.8	1.00E-37	2.59E+17	6.93E+16	1.59E-05	227.4	937	1.72E+12	3.09E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	32	32.7	242.8	1.00E-37	2.22E+17	5.94E+16	1.36E-05	229	937	1.48E+12	2.65E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	33	32.7	242.8	1.00E-37	1.90E+17	5.09E+16	1.17E-05	230.6	937	1.26E+12	2.27E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	34	32.7	242.8	1.00E-37	1.63E+17	4.37E+16	1.00E-05	232.4	937	1.08E+12	1.95E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	35	32.7	242.8	1.00E-37	1.40E+17	3.75E+16	8.61E-06	234.2	937	9.31E+11	1.67E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	36	32.7	242.8	1.00E-37	1.20E+17	3.22E+16	7.39E-06	236.2	937	8.00E+11	1.44E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	37	32.7	242.8	1.00E-37	1.03E+17	2.77E+16	6.36E-06	238.3	937	6.88E+11	1.23E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	38	32.7	242.8	1.00E-37	8.89E+16	2.38E+16	5.47E-06	240.4	937	5.92E+11	1.06E+15	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	39	32.7	242.8	1.00E-37	7.66E+16	2.05E+16	4.71E-06	242.7	937	5.10E+11	9.15E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	40	32.7	242.8	1.00E-37	6.61E+16	1.77E+16	4.07E-06	245	937	4.40E+11	7.90E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	41	32.7	242.8	1.00E-37	5.71E+16	1.53E+16	3.51E-06	247.4	937	3.80E+11	6.82E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	42	32.7	242.8	1.00E-37	4.94E+16	1.32E+16	3.04E-06	249.7	937	3.29E+11	5.90E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	43	32.7	242.8	1.00E-37	4.28E+16	1.15E+16	2.63E-06	251.9	937	2.85E+11	5.11E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	44	32.7	242.8	1.00E-37	3.72E+16	9.96E+15	2.29E-06	253.9	937	2.48E+11	4.44E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	45	32.7	242.8	1.00E-37	3.23E+16	8.67E+15	1.99E-06	255.6	937	2.15E+11	3.87E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	46	32.7	242.8	1.00E-37	2.82E+16	7.57E+15	1.74E-06	257	937	1.88E+11	3.37E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	47	32.7	242.8	1.00E-37	2.47E+16	6.62E+15	1.52E-06	257.8	937	1.64E+11	2.95E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	48	32.7	242.8	1.00E-37	2.16E+16	5.80E+15	1.33E-06	258.2	937	1.44E+11	2.59E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	49	32.7	242.8	1.00E-37	1.90E+16	5.10E+15	1.17E-06	258.1	937	1.27E+11	2.27E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	50	32.7	242.8	1.00E-37	1.67E+16	4.48E+15	1.03E-06	257.4	937	1.11E+11	2.00E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	51	32.7	242.8	6.66E+07	1.47E+16	3.95E+15	9.07E-07	256.3	937	9.82E+10	1.76E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	52	32.7	242.8	6.16E+07	1.30E+16	3.49E+15	8.01E-07	254.6	937	8.66E+10	1.56E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	53	32.7	242.8	5.69E+07	1.15E+16	3.08E+15	7.07E-07	252.7	937	7.65E+10	1.37E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	54	32.7	242.8	5.27E+07	1.01E+16	2.72E+15	6.24E-07	250.6	937	6.75E+10	1.21E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	55	32.7	242.8	4.91E+07	8.94E+15	2.40E+15	5.50E-07	248.4	937	5.95E+10	1.07E+14	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	56	32.7	242.8	4.65E+07	7.87E+15	2.11E+15	4.85E-07	246.2	937	5.24E+10	9.41E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	57	32.7	242.8	4.46E+07	6.93E+15	1.86E+15	4.26E-07	244.1	937	4.61E+10	8.28E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	58	32.7	242.8	4.35E+07	6.08E+15	1.63E+15	3.75E-07	242.1	937	4.05E+10	7.27E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	59	32.7	242.8	4.28E+07	5.34E+15	1.43E+15	3.29E-07	240.1	937	3.56E+10	6.38E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	60	32.7	242.8	4.26E+07	4.68E+15	1.26E+15	2.88E-07	238.1	937	3.12E+10	5.59E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	61	32.7	242.8	4.28E+07	4.10E+15	1.10E+15	2.52E-07	236	937	2.73E+10	4.90E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	62	32.7	242.8	4.34E+07	3.59E+15	9.62E+14	2.21E-07	233.9	937	2.39E+10	4.29E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	63	32.7	242.8	4.47E+07	3.14E+15	8.41E+14	1.93E-07	231.6	937	2.09E+10	3.75E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	64	32.7	242.8	4.68E+07	2.74E+15	7.35E+14	1.69E-07	229.3	937	1.83E+10	3.28E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	65	32.7	242.8	5.04E+07	2.39E+15	6.42E+14	1.47E-07	226.8	937	1.59E+10	2.86E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	66	32.7	242.8	5.58E+07	2.09E+15	5.60E+14	1.29E-07	224.3	937	1.39E+10	2.49E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	67	32.7	242.8	6.38E+07	1.82E+15	4.87E+14	1.12E-07	221.6	937	1.21E+10	2.17E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	68	32.7	242.8	7.47E+07	1.58E+15	4.24E+14	9.73E-08	219	937	1.05E+10	1.89E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	69	32.7	242.8	8.93E+07	1.37E+15	3.68E+14	8.45E-08	216.4	937	9.14E+09	1.64E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	70	32.7	242.8	1.08E+08	1.19E+15	3.19E+14	7.32E-08	213.9	937	7.92E+09	1.42E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	71	32.7	242.8	1.31E+08	1.03E+15	2.75E+14	6.32E-08	211.6	937	6.84E+09	1.23E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	72	32.7	242.8	1.60E+08	8.86E+14	2.38E+14	5.45E-08	209.4	937	5.90E+09	1.06E+13	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	73	32.7	242.8	1.97E+08	7.62E+14	2.05E+14	4.69E-08	207.3	937	5.08E+09	9.11E+12	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	74	32.7	242.8	2.47E+08	6.56E+14	1.76E+14	4.04E-08	205	937	4.37E+09	7.84E+12	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	75	32.7	242.8	3.17E+08	5.63E+14	1.51E+14	3.47E-08	202.6	937	3.75E+09	6.73E+12	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	76	32.7	242.8	4.21E+08	4.84E+14	1.30E+14	2.98E-08	200	937	3.22E+09	5.78E+12	8.69E+06	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	77	32.7	242.8	5.83E+08	4.15E+14	1.11E+14	2.56E-08	197	937	2.77E+09	4.96E+12	2.91E+07	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	78	32.7	242.8	8.49E+08	3.56E+14	9.53E+13	2.19E-08	194	937	2.38E+09	4.25E+12	6.64E+07	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	79	32.7	242.8	1.32E+09	3.03E+14	8.13E+13	1.87E-08	191.4	937	2.03E+09	3.62E+12	1.15E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	80	32.7	242.8	2.19E+09	2.57E+14	6.89E+13	1.58E-08	189.5	937	1.74E+09	3.07E+12	1.63E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	81	32.7	242.8	3.96E+09	2.17E+14	5.81E+13	1.33E-08	188.6	937	1.48E+09	2.59E+12	2.00E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	82	32.7	242.8	7.79E+09	1.81E+14	4.86E+13	1.12E-08	188.8	937	1.25E+09	2.17E+12	2.20E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	83	32.7	242.8	1.60E+10	1.51E+14	4.06E+13	9.31E-09	190	937	1.05E+09	1.81E+12	2.24E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	84	32.7	242.8	3.26E+10	1.26E+14	3.38E+13	7.75E-09	191.8	937	8.87E+08	1.50E+12	2.17E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	85	32.7	242.8	6.22E+10	1.05E+14	2.81E+13	6.46E-09	193.7	937	7.50E+08	1.25E+12	2.03E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	86	32.7	242.8	1.06E+11	8.77E+13	2.35E+13	5.40E-09	195.4	937	6.37E+08	1.05E+12	1.85E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	87	32.7	242.8	1.57E+11	7.36E+13	1.97E+13	4.54E-09	196.3	937	5.46E+08	8.79E+11	1.68E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	88	32.7	242.8	2.21E+11	6.21E+13	1.66E+13	3.83E-09	196.5	937	4.72E+08	7.40E+11	1.52E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	89	32.7	242.8	2.98E+11	5.26E+13	1.41E+13	3.24E-09	196.1	937	4.12E+08	6.24E+11	1.37E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	90	32.7	242.8	3.87E+11	4.46E+13	1.19E+13	2.75E-09	195.2	937	3.62E+08	5.27E+11	1.23E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	91	32.7	242.8	4.82E+11	3.79E+13	1.01E+13	2.34E-09	193.9	937	3.20E+08	4.46E+11	1.12E+08	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	92	32.7	242.8	5.79E+11	3.22E+13	8.54E+12	1.99E-09	192.3	937	2.85E+08	3.76E+11	1.01E+08	2.03E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	93	32.7	242.8	6.72E+11	2.73E+13	7.22E+12	1.69E-09	190.6	937	2.55E+08	3.17E+11	9.12E+07	2.45E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	94	32.7	242.8	7.52E+11	2.32E+13	6.09E+12	1.44E-09	189	937	2.30E+08	2.66E+11	8.27E+07	2.91E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	95	32.7	242.8	8.11E+11	1.96E+13	5.12E+12	1.22E-09	187.4	937	2.08E+08	2.23E+11	7.50E+07	3.41E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	96	32.7	242.8	8.42E+11	1.66E+13	4.29E+12	1.04E-09	186.1	937	1.89E+08	1.86E+11	6.80E+07	3.97E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	97	32.7	242.8	8.40E+11	1.40E+13	3.58E+12	8.74E-10	185	937	1.72E+08	1.54E+11	6.15E+07	4.58E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	98	32.7	242.8	8.03E+11	1.18E+13	2.98E+12	7.36E-10	184.3	937	1.57E+08	1.26E+11	5.56E+07	5.25E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	99	32.7	242.8	7.37E+11	9.89E+12	2.46E+12	6.18E-10	184	937	1.45E+08	1.03E+11	5.01E+07	5.99E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	100	32.7	242.8	6.53E+11	8.28E+12	2.03E+12	5.16E-10	184.3	937	1.33E+08	8.39E+10	4.51E+07	6.79E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	101	32.7	242.8	5.65E+11	6.91E+12	1.66E+12	4.30E-10	185.1	937	1.23E+08	6.78E+10	4.06E+07	7.67E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	102	32.7	242.8	4.83E+11	5.76E+12	1.36E+12	3.57E-10	186.7	937	1.14E+08	5.44E+10	3.64E+07	8.64E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	103	32.7	242.8	4.13E+11	4.78E+12	1.11E+12	2.95E-10	189.1	937	1.06E+08	4.35E+10	3.27E+07	9.70E+04	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	104	32.7	242.8	3.55E+11	3.97E+12	8.95E+11	2.44E-10	192.5	937	9.89E+07	3.45E+10	2.92E+07	1.09E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	105	32.7	242.8	3.07E+11	3.28E+12	7.23E+11	2.01E-10	197.1	937	9.22E+07	2.74E+10	2.61E+07	1.21E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	106	32.7	242.8	2.67E+11	2.71E+12	5.83E+11	1.66E-10	202.9	937	8.60E+07	2.16E+10	2.32E+07	1.34E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	107	32.7	242.8	2.34E+11	2.24E+12	4.69E+11	1.36E-10	210	937	8.04E+07	1.71E+10	2.07E+07	1.49E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	108	32.7	242.8	2.07E+11	1.85E+12	3.78E+11	1.13E-10	218.4	937	7.52E+07	1.35E+10	1.84E+07	1.64E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	109	32.7	242.8	1.83E+11	1.53E+12	3.04E+11	9.31E-11	228.1	937	7.02E+07	1.07E+10	1.63E+07	1.81E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	110	32.7	242.8	1.63E+11	1.28E+12	2.46E+11	7.73E-11	239.1	937	6.54E+07	8.47E+09	1.44E+07	1.99E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	111	32.7	242.8	1.46E+11	1.06E+12	2.00E+11	6.44E-11	251.5	937	6.10E+07	6.75E+09	1.27E+07	2.19E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	112	32.7	242.8	1.30E+11	8.90E+11	1.63E+11	5.39E-11	265.1	937	5.69E+07	5.41E+09	1.12E+07	2.40E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	113	32.7	242.8	1.17E+11	7.49E+11	1.33E+11	4.53E-11	279.8	937	5.31E+07	4.35E+09	9.94E+06	2.63E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	114	32.7	242.8	1.06E+11	6.35E+11	1.10E+11	3.84E-11	295.4	937	4.97E+07	3.53E+09	8.80E+06	2.89E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	115	32.7	242.8	9.56E+10	5.42E+11	9.10E+10	3.28E-11	311.5	937	4.66E+07	2.89E+09	7.82E+06	3.19E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	116	32.7	242.8	8.70E+10	4.66E+11	7.61E+10	2.82E-11	327.5	937	4.40E+07	2.38E+09	6.98E+06	3.51E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	117	32.7	242.8	7.97E+10	4.04E+11	6.42E+10	2.44E-11	343.5	937	4.16E+07	1.98E+09	6.26E+06	3.88E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	118	32.7	242.8	7.33E+10	3.52E+11	5.46E+10	2.14E-11	359.2	937	3.96E+07	1.66E+09	5.64E+06	4.30E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	119	32.7	242.8	6.77E+10	3.10E+11	4.67E+10	1.88E-11	374.6	937	3.78E+07	1.40E+09	5.10E+06	4.76E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	120	32.7	242.8	6.28E+10	2.74E+11	4.02E+10	1.66E-11	389.5	937	3.62E+07	1.19E+09	4.64E+06	5.28E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	121	32.7	242.8	5.85E+10	2.44E+11	3.49E+10	1.48E-11	403.9	937	3.47E+07	1.02E+09	4.24E+06	5.86E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	122	32.7	242.8	5.47E+10	2.18E+11	3.04E+10	1.33E-11	417.8	937	3.34E+07	8.79E+08	3.89E+06	6.51E+05	153.9	153.9	5.1	4	5	7	7	6.1	14.6
